,Track,Artists,id,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Artists_1,Artists_2,Artists_3,genres_1,genres_2,genres_3
312,Keii,['Anuel AA'],5eEQCfq7MXQr6aHLNRUZLs,"['reggaeton', 'rap', 'latin']",0.708,0.797,0,-3.095,0,0.0391,0.4,0.0,0.096,0.51,88.015,Anuel AA,,,reggaeton,rap,latin
313,Contando Lunares (feat. Anitta & Rauw Alejandro) - Remix,['Don Patricio'],4r2IrqOOdh3dPUKyvRHaSE,"['rap', 'urban']",0.87,0.472,4,-7.596,0,0.0456,0.501,0.0,0.278,0.698,106.051,Don Patricio,,,rap,urban,
314,En Llamas,"['Pol Granch', 'Natalia Lacunza']",5itCPBTj94wIbL4p4rBCvD,"['pop', 'rap']",0.635,0.351,11,-11.626,0,0.275,0.473,0.0,0.0713,0.353,79.936,Pol Granch,Natalia Lacunza,,pop,rap,
315,La Pared 360,"['Lenny Tavárez', 'Justin Quiles']",2w8SKQCnT2YQK1qCqKl2uW,"['reggaeton', 'rap', 'latin']",0.777,0.656,2,-5.823,0,0.158,0.248,2.06e-06,0.139,0.833,168.103,Lenny Tavárez,Justin Quiles,,reggaeton,rap,latin
316,Intentions,"['Justin Bieber', 'Quavo']",38U2jBzDMmw1CCNTpf03sX,['pop'],0.813,0.554,9,-6.631,1,0.0544,0.315,0.0,0.105,0.86,148.011,Justin Bieber,Quavo,,pop,,
317,Mejor,"['Dalex', 'Sech']",6C1jKbkCUgFws7M0M4oGCB,"['r&b', 'reggaeton', 'rap', 'latin']",0.524,0.577,2,-4.501,1,0.18,0.185,0.0,0.103,0.19,175.396,Dalex,Sech,,r&b,reggaeton,rap
318,Rompecabezas,['Maka'],2zoRntCEjPqAwsAC48rlEF,"['urban', 'flamenco']",0.573,0.762,5,-6.245,0,0.0465,0.531,0.000725,0.332,0.302,160.013,Maka,,,urban,flamenco,
319,TE SUPERÉ,"['Becky G', 'Zion & Lennox', 'Farruko']",2y6EbYibgxMVQ0T5YjZYWN,"['reggaeton', 'pop', 'rap', 'latin']",0.738,0.783,0,-4.576,1,0.0693,0.055,0.0,0.125,0.699,176.027,Becky G,Zion & Lennox,Farruko,reggaeton,pop,rap
320,Pa Los Gustos Los Colores,['Javiielo'],6Bd9rs5gv25asdPDRog3ce,"['reggaeton', 'rap']",0.742,0.683,9,-5.828,1,0.118,0.19,0.000111,0.0947,0.412,80.034,Javiielo,,,reggaeton,rap,
321,Know Your Worth,"['Khalid', 'Disclosure']",0TrPqhAMoaKUFLR7iYDokf,"['r&b', 'pop']",0.79,0.694,9,-7.726,0,0.0708,0.145,0.00252,0.281,0.508,103.007,Khalid,Disclosure,,r&b,pop,
322,Te Sale,['Lennis Rodriguez'],61PohFNZfNQA1bzMoV137g,"['pop', 'urban']",0.875,0.686,4,-5.546,0,0.152,0.0172,0.00195,0.0759,0.311,97.023,Lennis Rodriguez,,,pop,urban,
323,Porno,"['Rich Music LTD', 'Sech', 'Dalex', 'Justin Quiles', 'Lenny Tavárez', 'Feid']",34ZngZgo8xicbt1EE8Ob8Z,"['reggaeton', 'rap', 'latin']",0.535,0.71,1,-2.978,0,0.324,0.428,0.0,0.141,0.523,92.009,Rich Music LTD,Sech,Dalex,reggaeton,rap,latin
